date,cash,market_value,total_value,positions
2023-03-01,10013.378252983093,109.79999542236328,10123.178248405457,YESBANK.NS
2023-03-02,10013.378252983093,105.0,10118.378252983093,YESBANK.NS
2023-03-03,10013.378252983093,101.10000228881836,10114.478255271912,YESBANK.NS
2023-03-06,10013.378252983093,101.39999771118164,10114.778250694275,YESBANK.NS
2023-03-08,10013.378252983093,100.20000457763672,10113.57825756073,YESBANK.NS
2023-03-09,10013.378252983093,99.29999542236328,10112.678248405457,YESBANK.NS
2023-03-10,10013.378252983093,99.0,10112.378252983093,YESBANK.NS
2023-03-13,10013.378252983093,93.89999771118163,10107.278250694275,YESBANK.NS
2023-03-14,10013.378252983093,93.30000114440918,10106.678254127502,YESBANK.NS
2023-03-15,10013.378252983093,92.10000228881837,10105.478255271912,YESBANK.NS
2023-03-16,10102.778250694275,0.0,10102.778250694275,
2023-03-17,10102.778250694275,0.0,10102.778250694275,
2023-03-20,10102.778250694275,0.0,10102.778250694275,
2023-03-21,10102.778250694275,0.0,10102.778250694275,
2023-03-22,10102.778250694275,0.0,10102.778250694275,
2023-03-23,10102.778250694275,0.0,10102.778250694275,
2023-03-24,10102.778250694275,0.0,10102.778250694275,
2023-03-27,10102.778250694275,0.0,10102.778250694275,
2023-03-28,10102.778250694275,0.0,10102.778250694275,
2023-03-29,10102.778250694275,0.0,10102.778250694275,
2023-03-31,10102.778250694275,0.0,10102.778250694275,
2023-04-03,10010.678248405457,92.10000228881837,10102.778250694275,YESBANK.NS
2023-04-05,10010.678248405457,91.5,10102.178248405457,YESBANK.NS
2023-04-06,10010.678248405457,92.39999771118163,10103.078246116638,YESBANK.NS
2023-04-10,10010.678248405457,91.19999885559082,10101.878247261047,YESBANK.NS
2023-04-11,10010.678248405457,91.19999885559082,10101.878247261047,YESBANK.NS
2023-04-12,10010.678248405457,92.39999771118163,10103.078246116638,YESBANK.NS
2023-04-13,10010.678248405457,92.10000228881837,10102.778250694275,YESBANK.NS
2023-04-17,10010.678248405457,92.10000228881837,10102.778250694275,YESBANK.NS
2023-04-18,10010.678248405457,99.89999771118164,10110.578246116638,YESBANK.NS
2023-04-19,10010.678248405457,99.29999542236328,10109.97824382782,YESBANK.NS
2023-04-20,10010.678248405457,99.0,10109.678248405457,YESBANK.NS
2023-04-21,10010.678248405457,97.20000457763672,10107.878252983093,YESBANK.NS
2023-04-24,10010.678248405457,94.19999885559082,10104.878247261047,YESBANK.NS
2023-04-25,10010.678248405457,93.30000114440918,10103.978249549866,YESBANK.NS
2023-04-26,10010.678248405457,93.0,10103.678248405457,YESBANK.NS
2023-04-27,10010.678248405457,93.60000228881837,10104.278250694275,YESBANK.NS
2023-04-28,10010.678248405457,94.19999885559082,10104.878247261047,YESBANK.NS
2023-05-02,10010.678248405457,95.69999885559082,10106.378247261047,YESBANK.NS
2023-05-03,10010.678248405457,96.89999771118164,10107.578246116638,YESBANK.NS
2023-05-04,10010.678248405457,96.29999542236328,10106.97824382782,YESBANK.NS
2023-05-05,10010.678248405457,95.69999885559082,10106.378247261047,YESBANK.NS
2023-05-08,10010.678248405457,96.60000228881836,10107.278250694275,YESBANK.NS
2023-05-09,10010.678248405457,96.60000228881836,10107.278250694275,YESBANK.NS
2023-05-10,10010.678248405457,95.69999885559082,10106.378247261047,YESBANK.NS
2023-05-11,10010.678248405457,96.60000228881836,10107.278250694275,YESBANK.NS
2023-05-12,10010.678248405457,95.69999885559082,10106.378247261047,YESBANK.NS
2023-05-15,10010.678248405457,95.10000228881837,10105.778250694275,YESBANK.NS
